0.0 1:2.8918373122	 2:-0.135587428022	 3:1.59783566853	 
0.0 1:2.89915755039	 2:-0.33102589983	 3:1.67077850901	 
0.0 1:2.91466211374	 2:-0.554757953416	 3:1.65693713982	 
0.0 1:2.93416469244	 2:-0.769766589234	 3:1.58075019661	 
0.0 1:2.95516964018	 2:-0.956754503872	 3:1.45923821623	 
0.0 1:2.97684218546	 2:-1.11387240094	 3:1.30217020254	 
0.0 1:2.99841322477	 2:-1.23996083859	 3:1.11902843969	 
0.0 1:3.01914472925	 2:-1.33371491369	 3:0.918741903454	 
0.0 1:3.03841347831	 2:-1.39329230226	 3:0.708195316854	 
0.0 1:3.05577819117	 2:-1.41838230102	 3:0.493142996107	 
0.0 1:3.07175269331	 2:-1.41884829288	 3:0.275293424739	 
0.0 1:3.08721335298	 2:-1.4084155776	 3:0.0548193543032	 
0.0 1:3.1030372206	 2:-1.40081669303	 3:-0.168109378892	 
0.0 1:3.11920440849	 2:-1.3982935222	 3:-0.391237011197	 
0.0 1:3.13236848261	 2:-1.3604716852	 3:-0.604571488047	 
0.0 1:3.13943235175	 2:-1.25295035674	 3:-0.79624104925	 
0.0 1:3.14079497708	 2:-1.09696882753	 3:-0.952900283171	 
0.0 1:3.13768301129	 2:-0.913174375843	 3:-1.07303657128	 
0.0 1:3.5999976223	 2:-0.482359589761	 3:-1.19809046881	 
0.0 1:3.61612707533	 2:-0.290125697296	 3:-1.19684749457	 
0.0 1:3.62809880015	 2:-0.104342477408	 3:-1.16488102734	 
0.0 1:3.63653490208	 2:0.0750672928042	 3:-1.10742766141	 
0.0 1:3.64205748647	 2:0.248180836242	 3:-1.02972399111	 
0.0 1:3.64528865864	 2:0.415075375804	 3:-0.937006610703	 
0.0 1:3.64685052391	 2:0.575828134392	 3:-0.834512114508	 
0.0 1:3.64715251074	 2:0.730646524206	 3:-0.725574099012	 
0.0 1:3.64593879866	 2:0.880909438897	 3:-0.607023174656	 
0.0 1:3.64591006306	 2:1.03509320216	 3:-0.49572880869	 
0.0 1:3.65147224109	 2:1.2056393099	 3:-0.420211139089	 
0.0 1:3.66041628615	 2:1.39379191344	 3:-0.360781843295	 
0.0 1:3.66571698974	 2:1.56872978019	 3:-0.279876688276	 
0.0 1:3.66110936446	 2:1.68494414265	 3:-0.156977204844	 
0.0 1:3.64549583176	 2:1.73256120098	 3:0.0101420994679	 
0.0 1:3.62246814325	 2:1.73440890517	 3:0.207368095451	 
0.0 1:3.59578893411	 2:1.7145068874	 3:0.419992259298	 
0.0 1:3.56913441764	 2:1.69606420744	 3:0.633457443196	 
0.0 1:3.54396264932	 2:1.68148526695	 3:0.837091810092	 
0.0 1:3.51937739985	 2:1.65109304043	 3:1.02434727281	 
0.0 1:3.49436876236	 2:1.58414429211	 3:1.18887486107	 
0.0 1:3.46805698109	 2:1.46085907566	 3:1.32391222008	 
